Date,Open,High,Low,Close,Adj Close,Volume
2009-12-17,8.500000,9.125000,8.405000,9.125000,5.511017,18837000
2009-12-18,9.220000,9.225000,8.825000,8.825000,5.329833,2533800
2009-12-21,8.845000,8.845000,8.465000,8.600000,5.193944,2273200
2009-12-22,8.695000,8.710000,8.530000,8.650000,5.224142,1136400
2009-12-23,8.600000,8.750000,8.550000,8.650000,5.224142,207800
2009-12-24,null,null,null,null,null,null
2009-12-28,8.625000,8.885000,8.600000,8.850000,5.344933,566400
2009-12-29,null,null,null,null,null,null
2009-12-30,9.000000,9.195000,8.975000,9.195000,5.553293,590800
2010-01-04,9.005000,9.250000,9.005000,9.050000,5.465721,464000
2010-01-05,9.100000,9.245000,8.925000,9.000000,5.435524,273800
2010-01-06,9.000000,9.475000,9.000000,9.325000,5.631805,764800
2010-01-07,9.255000,9.370000,9.055000,9.355000,5.649925,752800
2010-01-08,9.160000,9.945000,9.160000,9.545000,5.764674,2120800
2010-01-11,9.610000,9.740000,9.495000,9.625000,5.812990,287800
2010-01-12,9.625000,10.245000,9.615000,9.800000,5.918682,718200
2010-01-13,9.800000,9.825000,9.600000,9.825000,5.933780,314600
2010-01-14,9.835000,10.225000,9.835000,10.000000,6.039471,76200
2010-01-15,10.025000,10.085000,9.855000,9.855000,5.951898,266400
2010-01-18,10.085000,10.085000,9.920000,9.925000,5.994175,103400
2010-01-19,9.975000,10.075000,9.920000,10.005000,6.042491,145200
2010-01-20,10.000000,10.045000,9.855000,9.875000,5.963978,2142800
2010-01-21,9.765000,9.995000,9.700000,9.810000,5.924721,180800
2010-01-22,9.795000,9.810000,9.700000,9.750000,5.888484,710000
2010-01-26,9.750000,9.850000,9.695000,9.695000,5.855266,860000
2010-01-27,9.750000,9.750000,9.500000,9.690000,5.852247,59000
2010-01-28,9.570000,9.785000,9.570000,9.750000,5.888484,35200
2010-01-29,9.780000,10.075000,9.745000,9.745000,5.885465,321000
2010-02-01,9.740000,9.740000,9.575000,9.595000,5.794873,139600
2010-02-02,9.575000,9.575000,9.450000,9.450000,5.707300,304600
2010-02-03,9.560000,9.595000,9.425000,9.445000,5.704280,62200
2010-02-04,9.455000,9.545000,8.885000,8.965000,5.414386,432000
2010-02-05,8.965000,9.140000,8.605000,8.845000,5.341913,394200
2010-02-08,8.870000,9.505000,8.700000,8.940000,5.399286,437800
2010-02-09,9.040000,9.325000,9.000000,9.250000,5.586510,321800
2010-02-10,9.245000,9.600000,9.245000,9.470000,5.719379,484600
2010-02-11,9.475000,9.680000,9.385000,9.385000,5.668044,314600
2010-02-12,9.530000,9.585000,9.245000,9.250000,5.586510,33600
2010-02-17,9.575000,9.585000,9.455000,9.500000,5.737497,246600
2010-02-18,9.375000,10.000000,9.230000,9.950000,6.009273,211400
2010-02-19,9.795000,9.975000,9.795000,9.960000,6.015314,383400
2010-02-22,9.750000,10.075000,9.740000,9.870000,5.960958,1007600
2010-02-23,9.800000,9.915000,9.535000,9.650000,5.828088,1038200
2010-02-24,9.595000,9.950000,9.595000,9.825000,5.933780,56200
2010-02-25,9.800000,9.800000,9.510000,9.625000,5.812990,610600
2010-02-26,9.585000,10.000000,9.555000,9.995000,6.036450,32800
2010-03-01,10.045000,10.050000,9.615000,9.615000,5.806951,1138400
2010-03-02,9.650000,9.910000,9.450000,9.475000,5.722399,129800
2010-03-03,9.750000,9.750000,9.480000,9.500000,5.737497,210800
2010-03-04,9.600000,9.665000,9.500000,9.500000,5.737497,33400
2010-03-05,9.645000,9.650000,9.500000,9.625000,5.812990,116600
2010-03-08,9.645000,9.720000,9.530000,9.600000,5.797891,86600
2010-03-09,9.685000,9.690000,9.500000,9.525000,5.752596,60600
2010-03-10,9.525000,9.800000,9.475000,9.475000,5.722399,491000
2010-03-11,9.425000,9.500000,9.275000,9.500000,5.737497,162200
2010-03-12,9.255000,9.620000,9.255000,9.500000,5.737497,90200
2010-03-15,9.250000,9.700000,9.250000,9.600000,5.797891,201800
2010-03-16,9.500000,9.990000,9.410000,9.550000,5.767695,534200
2010-03-17,9.640000,9.915000,9.640000,9.765000,5.897543,208600
2010-03-18,9.675000,9.975000,9.675000,9.900000,5.979076,384400
2010-03-19,9.900000,9.900000,9.525000,9.825000,5.933780,1068000
2010-03-22,9.830000,9.850000,9.550000,9.850000,5.948878,59200
2010-03-23,9.735000,9.975000,9.735000,9.875000,5.963978,613000
2010-03-24,9.860000,9.900000,9.655000,9.660000,5.834129,254200
2010-03-25,9.755000,9.845000,9.665000,9.775000,5.903583,48200
2010-03-26,9.620000,9.795000,9.620000,9.730000,5.876405,48600
2010-03-29,9.655000,9.815000,9.610000,9.650000,5.828088,319000
2010-03-30,9.790000,9.945000,9.660000,9.705000,5.861306,130800
2010-03-31,9.885000,9.885000,9.500000,9.500000,5.737497,1248600
2010-04-01,9.500000,9.725000,9.150000,9.155000,5.529134,259000
2010-04-05,9.250000,9.250000,8.900000,8.900000,5.375130,583600
2010-04-06,9.000000,9.000000,8.700000,8.700000,5.254340,1197600
2010-04-07,8.805000,8.900000,8.430000,8.550000,5.163747,913400
2010-04-08,8.575000,8.900000,8.550000,8.550000,5.163747,640
2010-04-09,8.905000,8.975000,8.845000,8.950000,5.405327,494600
2010-04-12,8.945000,8.995000,8.855000,8.995000,5.432505,639200
2010-04-13,8.995000,9.015000,8.830000,9.010000,5.441562,1057600
2010-04-14,9.020000,9.115000,8.770000,9.000000,5.435524,631400
2010-04-15,9.065000,9.065000,8.800000,8.900000,5.375130,71200
2010-04-16,8.970000,9.030000,8.775000,8.900000,5.375130,702200
2010-04-19,8.895000,9.020000,8.850000,8.850000,5.344933,102200
2010-04-20,8.765000,9.085000,8.765000,9.000000,5.435524,652000
2010-04-22,8.950000,9.000000,8.850000,8.950000,5.405327,946400
2010-04-23,9.005000,9.125000,8.715000,9.000000,5.435524,504000
2010-04-26,9.000000,9.075000,8.875000,9.005000,5.438543,259800
2010-04-27,8.760000,9.030000,8.740000,8.750000,5.284537,257000
2010-04-28,8.845000,8.965000,8.750000,8.750000,5.284537,87800
2010-04-29,8.910000,8.975000,8.820000,8.850000,5.344933,76600
2010-04-30,8.710000,9.125000,8.550000,8.865000,5.353991,254600
2010-05-03,9.000000,9.145000,9.000000,9.000000,5.435524,172
2010-05-04,9.010000,9.150000,8.875000,8.900000,5.375130,256400
2010-05-05,8.865000,8.870000,8.675000,8.800000,5.314734,102400
2010-05-06,8.755000,9.040000,8.500000,8.600000,5.193944,160000
2010-05-07,8.550000,9.030000,8.480000,8.480000,5.121472,846800
2010-05-10,8.745000,9.015000,8.305000,8.430000,5.091274,181800
2010-05-11,8.450000,8.695000,8.300000,8.475000,5.118452,179000
2010-05-12,8.500000,9.050000,8.425000,8.580000,5.181866,166000
2010-05-13,8.585000,8.940000,8.585000,8.850000,5.344933,335200
2010-05-14,8.755000,8.950000,8.750000,8.750000,5.284537,1546600
2010-05-17,8.745000,8.895000,8.385000,8.625000,5.209044,170200
2010-05-18,8.625000,8.885000,8.515000,8.550000,5.163747,114000
2010-05-19,8.550000,8.750000,8.420000,8.500000,5.133551,383400
2010-05-20,8.300000,8.505000,8.300000,8.350000,5.042959,861000
2010-05-21,8.240000,8.500000,8.240000,8.300000,5.012762,268600
2010-05-24,8.470000,8.475000,8.260000,8.260000,4.988603,40000
2010-05-25,8.260000,8.425000,8.005000,8.250000,4.982563,108600
2010-05-26,8.485000,8.500000,8.350000,8.500000,5.133551,306200
2010-05-27,8.495000,8.575000,8.415000,8.575000,5.178846,995000
2010-05-28,8.600000,8.990000,8.530000,8.915000,5.384188,124200
2010-05-31,8.990000,8.995000,8.850000,8.900000,5.375130,36000
2010-06-01,8.990000,8.990000,8.755000,8.755000,5.287558,14200
2010-06-02,8.750000,8.990000,8.750000,8.800000,5.314734,149600
2010-06-04,8.645000,8.975000,8.625000,8.975000,5.420425,285200
2010-06-07,8.990000,9.285000,8.945000,9.200000,5.556314,291800
2010-06-08,9.200000,9.915000,9.200000,9.500000,5.737497,358600
2010-06-09,9.480000,9.505000,9.125000,9.125000,5.511017,29200
2010-06-10,9.125000,9.400000,9.120000,9.325000,5.631805,60400
2010-06-11,9.160000,9.350000,9.160000,9.250000,5.586510,497000
2010-06-14,9.375000,9.375000,9.100000,9.100000,5.495920,54000
2010-06-15,9.300000,9.370000,9.125000,9.135000,5.517056,37800
2010-06-16,9.155000,9.345000,8.935000,9.050000,5.465721,114800
2010-06-17,8.910000,9.320000,8.910000,9.150000,5.526115,100400
2010-06-18,8.905000,9.250000,8.905000,9.250000,5.586510,74
2010-06-21,9.175000,9.475000,8.950000,9.250000,5.586510,181600
2010-06-22,9.470000,9.475000,9.250000,9.400000,5.677103,51400
2010-06-23,9.375000,9.600000,9.260000,9.505000,5.740518,106800
2010-06-24,9.550000,9.575000,9.450000,9.500000,5.737497,28200
2010-06-25,9.490000,9.725000,9.490000,9.600000,5.797891,19200
2010-06-28,9.615000,9.845000,9.600000,9.750000,5.888484,123000
2010-06-29,9.505000,9.750000,9.500000,9.750000,5.888484,119800
2010-06-30,9.720000,9.995000,9.685000,9.995000,6.036450,293000
2010-07-01,9.970000,10.000000,9.800000,9.970000,6.021352,247200
2010-07-02,9.960000,10.025000,9.960000,9.960000,6.015314,141200
2010-07-05,10.000000,10.125000,10.000000,10.000000,6.039471,20200
2010-07-06,9.995000,10.400000,9.995000,10.100000,6.099865,96200
2010-07-07,10.000000,10.485000,10.000000,10.410000,6.287089,138600
2010-07-08,10.445000,10.750000,10.445000,10.700000,6.462234,412000
2010-07-12,10.300000,10.350000,10.300000,10.350000,6.250854,590200
2010-07-13,10.395000,10.450000,10.020000,10.250000,6.190457,91000
2010-07-14,10.015000,10.050000,9.975000,10.000000,6.039471,144200
2010-07-15,10.095000,10.145000,9.970000,10.000000,6.039471,58200
2010-07-16,10.025000,10.050000,9.880000,10.000000,6.039471,177400
2010-07-19,10.245000,10.350000,10.005000,10.005000,6.042491,44200
2010-07-20,10.010000,10.175000,9.750000,10.000000,6.039471,1322200
2010-07-21,10.000000,10.130000,9.910000,9.910000,5.985114,158000
2010-07-22,10.025000,10.345000,10.000000,10.095000,6.096844,720600
2010-07-23,10.125000,10.310000,10.000000,10.010000,6.045511,36000
2010-07-26,10.245000,10.245000,10.005000,10.025000,6.054570,9400
2010-07-27,10.205000,10.205000,10.000000,10.070000,6.081748,180000
2010-07-28,10.070000,10.225000,9.755000,9.925000,5.994175,88400
2010-07-29,10.135000,10.220000,10.000000,10.020000,6.051549,135200
2010-07-30,9.955000,10.250000,9.930000,10.200000,6.160259,138600
2010-08-02,10.100000,10.200000,10.075000,10.075000,6.084767,168000
2010-08-03,10.100000,10.150000,10.050000,10.100000,6.099865,48000
2010-08-04,10.080000,10.190000,9.950000,9.950000,6.009273,8800
2010-08-05,10.120000,10.300000,10.120000,10.125000,6.114964,81800
2010-08-06,10.105000,10.485000,10.010000,10.010000,6.045511,26600
2010-08-09,10.130000,10.485000,9.980000,10.200000,6.160259,119000
2010-08-10,10.345000,10.500000,10.090000,10.110000,6.105906,45600
2010-08-11,10.250000,10.255000,10.050000,10.065000,6.078727,16600
2010-08-12,10.140000,10.525000,10.140000,10.195000,6.195279,33600
2010-08-13,10.250000,10.745000,10.200000,10.225000,6.213509,251200
2010-08-16,10.015000,10.365000,10.000000,10.055000,6.110204,82000
2010-08-17,10.075000,10.285000,10.075000,10.175000,6.183125,174000
2010-08-18,10.345000,10.650000,10.310000,10.540000,6.404927,45200
2010-08-19,10.805000,11.585000,10.540000,11.585000,7.039950,147400
2010-08-20,11.620000,11.625000,10.850000,11.150000,6.775611,114000
2010-08-23,11.150000,11.250000,10.860000,10.900000,6.623691,419600
2010-08-24,11.185000,11.185000,10.375000,10.375000,6.304661,28400
2010-08-25,10.380000,10.925000,10.230000,10.800000,6.562923,1177800
2010-08-26,10.795000,11.050000,10.505000,10.850000,6.593308,36800
